,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29
E1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89999999999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999,0.0,0.0,0.0,0.0,0.0,0.0
E2,0.0,0.24229781771501918,0.1059050064184852,0.12130937098844669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002567394094993581,0.0,0.0006418485237483952,0.003851091142490371,0.0,0.4784980744544286,0.0,0.03433889602053914,0.009948652118100126,0.0,0.0006418485237483952,0.0
E3,0.0,0.054387298370070086,0.3833291107170002,0.4148298285617768,0.0007600709399543956,0.00025335697998479854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033780930664639806,0.0,0.0010978802466007937,0.0,0.0,0.00016890465332319903,8.445232666159951e-05,0.10911240604678657,0.0,0.035301072544548596,0.00033780930664639806,0.0,0.0,0.0
E4,0.0,0.06805521918139984,0.5610317268103656,0.19205618793896823,0.00012109469605231288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008476628723661901,0.0,0.0,0.0006054734802615644,0.0,0.1355049648825381,0.0,0.041777670138047944,0.0,0.0,0.0,0.0
E5,0.00011201218692593754,6.720731215556253e-05,0.00013441462431112506,0.0,0.43926699224875665,0.028025449168869572,0.044648057708678704,0.0,0.002553877861911376,2.240243738518751e-05,0.10764371163582598,0.00022402437385187507,0.006093462968771003,0.0007616828710963753,0.00022402437385187507,0.030691339217706885,4.480487477037502e-05,0.027756619920247323,8.960974954075004e-05,0.0,0.00031363412339262514,0.24483623818271427,0.0,8.960974954075004e-05,0.002553877861911376,0.06364532461131771,0.00017921949908150008,2.240243738518751e-05,0.0
E6,0.0,0.001339285714285714,0.00022321428571428568,0.00022321428571428568,0.028794642857142852,0.010267857142857141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46272321428571417,0.0,0.00022321428571428568,0.0,0.0,0.01852678571428571,0.0,0.00022321428571428568,0.0,0.0,0.47700892857142846,0.00022321428571428568,0.00022321428571428568,0.0
E7,0.0,0.0,0.0,0.011904761904761835,0.07142857142857101,0.0,0.011904761904761835,0.2797619047619031,0.0,0.0,0.4345238095238069,0.005952380952380917,0.0,0.06547619047619009,0.07142857142857101,0.0,0.017857142857142752,0.005952380952380917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02380952380952367,0.0,0.0,0.0
E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9591836734693682,0.0,0.0,0.020408163265305704,0.0,0.0,0.0,0.020408163265305704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E9,0.0,0.011807191081802481,0.03400847856806406,0.012529439472444654,0.0026691788349819437,0.00012560841576385618,0.0,0.0,0.0065630397236614854,0.0,0.5535876903752551,6.280420788192809e-05,0.02452504317789292,0.0,9.420631182289213e-05,0.00012560841576385618,0.0,0.004333490343853038,0.0,0.0,6.280420788192809e-05,0.00025121683152771237,0.01771078662270372,0.0,0.013157481551263934,0.31439786465693204,0.003579839849269901,0.0004082273512325326,0.0
E10,0.0,0.0,0.0,0.0,0.1249999999999988,0.0,0.10576923076922976,0.0,0.009615384615384524,0.0,0.038461538461538096,0.08653846153846072,0.0,0.47115384615384165,0.15384615384615238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009615384615384524,0.0,0.0,0.0
E11,0.0,0.00028120606155288236,0.0013747851898140916,0.0007498828308076863,0.00028120606155288236,0.0,3.124511795032026e-05,0.0,0.9805030463990002,0.003311982502733948,0.006467739415716294,0.00018747070770192158,0.0,0.00043743165130448366,0.0005624121231057647,0.0,0.0,6.249023590064053e-05,3.124511795032026e-05,0.0,0.0,0.0,0.0014685205436650523,0.0,0.0005311670051554445,0.00359318856428683,0.00012498047180128105,0.0,0.0
E12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E13,0.0,0.0,0.000683060109289617,0.0,0.03688524590163932,0.0,0.0,0.0,0.0020491803278688513,0.0,0.8155737704918028,0.0,0.11475409836065567,0.0,0.0,0.0,0.0,0.001366120218579234,0.0,0.0,0.0,0.0,0.0,0.0,0.000683060109289617,0.0280054644808743,0.0,0.0,0.0
E14,0.0,0.0,0.0,0.0,0.03870967741935459,0.0,0.9096774193548328,0.01290322580645153,0.0,0.006451612903225765,0.01290322580645153,0.006451612903225765,0.0,0.006451612903225765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006451612903225765,0.0,0.0,0.0,0.0
