prev,next,cnt_norm,cnt_anom,cnt_total,p_norm,p_anom,log_ratio
E5,E7,0,1993,1993,0.0,0.007343079893298749,22.717024195691536
E22,E7,0,1264,1264,0.0,0.004657126435087616,22.261664450264085
E13,E11,0,1194,1194,0.0,0.004399215952131814,22.20469216952242
E9,E13,0,781,781,0.0,0.0028775441026925854,21.780203025529765
E4,E25,0,345,345,0.0,0.0012711302374250218,20.96317229316062
E27,E23,0,276,276,0.0,0.0010169041899400174,20.740028742043087
E5,E13,0,272,272,0.0,0.0010021664480568287,20.725429942636396
E13,E13,0,168,168,0.0,0.0006189851590939236,20.243591856361366
E22,E13,0,163,163,0.0,0.0006005629817399378,20.213378077814426
E14,E7,0,141,141,0.0,0.0005195054013824002,20.068387767645635
E20,E20,0,121,121,0.0,0.0004458166919664569,19.915418423182373
E11,E10,0,106,106,0.0,0.00039055015990449945,19.783066972015117
E26,E27,1,833,834,9.681333111824432e-08,0.003069134747174038,10.364111206786498
E27,E26,2,466,468,1.9362666223648864e-07,0.0017169469293914787,9.090121182979951
E28,E26,12,1271,1283,1.161759973418932e-06,0.004682917483383196,8.301739654248852
E21,E28,12,1234,1246,1.161759973418932e-06,0.0045465933709637005,8.272196587531134
E23,E20,2,143,145,1.9362666223648864e-07,0.0005268742723239945,7.90878018042977
E9,E27,2,114,116,1.9362666223648864e-07,0.0004200256436708767,7.6821339990471795
E20,E21,130,3415,3545,1.2585733045371761e-05,0.012582347132772316,6.9074861355702275
E21,E20,220,5057,5277,2.129893284601375e-05,0.01863219017582126,6.773989001227069
E3,E25,20,418,438,1.9362666223648864e-06,0.0015400940267932147,6.6788365365588955
E18,E16,30,578,608,2.9043999335473296e-06,0.002129603702120761,6.597464036571139
E5,E18,80,1239,1319,7.745066489459546e-06,0.004565015548317687,6.379121011456363
E18,E6,44,544,588,4.25978656920275e-06,0.0020043328961136574,6.1538472720795685
E21,E3,65,703,768,6.2928665226858805e-06,0.0025901581359704068,6.020057356787511
E9,E18,20,138,158,1.9362666223648864e-06,0.0005084520949700087,5.570608790508786
E21,E23,277,1689,1966,2.6817292719753677e-05,0.006223011510176411,5.44696226688827
E25,E5,226,1289,1515,2.1879812832723216e-05,0.004749237321857545,5.380174851569718
E25,E26,85,426,511,8.229133145050768e-06,0.001569569510559592,5.250875862293182
E9,E25,90,419,509,8.713199800641988e-06,0.001543778462264012,5.177149028867727
